candidate,accuracy,macro_f1,disease_macro_f1,min_class_recall,test_accuracy,test_macro_f1,test_disease_macro_f1,test_min_class_recall,test_hamming_loss,latency_ms,fps,size_mb,total_params_m,trainable_params_m,peak_vram_mb,training_seconds,best_epoch,epochs_trained,image_size,batch_size
efficientnet_v2_s,0.9326424870466321,0.9640855186747356,0.9600505328361555,0.9534883720930233,0.88,0.9197315025631011,0.9272432495233871,0.8275862068965517,0.04,29.20444666669937,34.24136096165996,77.85129833221436,20.181331,18.359755,899.50146484375,3934.4461037,15,20,300,8
regnet_y_3_2gf,0.8290155440414507,0.8834769068807806,0.8852862823451059,0.8333333333333334,0.815,0.8643684630908275,0.8846069614422601,0.7586206896551724,0.06666666666666667,22.49160333327988,44.461036644743864,68.8239278793335,17.927877,4.808307,361.69580078125,3372.2935660000003,13,19,224,8
convnext_tiny,0.9533678756476683,0.9788319414065089,0.9717759218753451,0.9583333333333334,0.905,0.9506298588551181,0.9427938347953297,0.9305555555555556,0.03166666666666667,8.494396666598428,117.7246647701524,106.19927501678467,27.822435,15.474435,482.43701171875,3746.7967905999976,14,20,224,4
densenet121,0.8497409326424871,0.8710130518669844,0.8798692543411644,0.6862745098039216,0.815,0.8451090730031305,0.8655508360762462,0.75,0.06916666666666667,28.221296666743,35.434232941480545,27.118779182434082,6.956931,2.163203,316.18359375,3568.1900000000023,17,20,224,8
